Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
C20orf112	ENST00000359676.5	chromosome 20 open reading frame 112 	148	1	0	1	0	1	0	1	0	2	hsa-miR-328-3p	0.0390	0.2578	1.2217	-0.14	-0.22	N/A	2011
CPT1A	ENST00000265641.5	carnitine palmitoyltransferase 1A (liver) 	869	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0230	0.1562	0.7624	-0.14	-0.15	N/A	2011
C1orf226	ENST00000458626.2	chromosome 1 open reading frame 226 	369	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0300	0.2021	0.9617	-0.13	-0.14	N/A	NULL
ZNF618	ENST00000288466.7	zinc finger protein 618 	778	1	0	1	0	2	0	1	1	5	hsa-miR-328-3p	0.0600	0.4216	2.3366	-0.13	-0.13	N/A	2011
KIAA1549	ENST00000440172.1	KIAA1549 	508	1	1	0	0	1	0	1	0	0	hsa-miR-328-3p	0.0813	0.4878	1.8198	-0.13	-0.14	N/A	NULL
IRAK1BP1	ENST00000369940.2	interleukin-1 receptor-associated kinase 1 binding protein 1 	30	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0196	0.1182	0.4074	-0.13	-0.31	N/A	NULL
MN1	ENST00000302326.4	meningioma (disrupted in balanced translocation) 1 	15	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0448	0.2702	0.9328	-0.13	-0.13	N/A	2009, 2011
PTPRF	ENST00000372414.3	protein tyrosine phosphatase, receptor type, F 	14842	1	1	0	0	2	0	0	2	4	hsa-miR-328-3p	0.0489	0.3213	1.3868	-0.13	-0.22	N/A	2009, 2011
SF1	ENST00000377390.3	splicing factor 1 	17473	1	0	0	1	0	0	0	0	1	hsa-miR-328-3p	0.0046	0.0334	0.2048	-0.12	-0.12	N/A	NULL
RBM8A	ENST00000330165.8	RNA binding motif protein 8A 	33	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0145	0.1025	0.5706	-0.12	-0.12	N/A	2011
PADI2	ENST00000375486.4	peptidyl arginine deiminase, type II 	11	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0341	0.1983	0.7217	-0.12	-0.24	N/A	2011
RP11-366L20.2	ENST00000356215.2	Uncharacterized protein  	5	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0291	0.1930	0.8550	-0.12	-0.12	N/A	NULL
GSG1L	ENST00000380898.2	GSG1-like 	5	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0148	0.1038	0.5783	-0.12	-0.12	N/A	2009, 2011
MFSD2A	ENST00000372811.5	major facilitator superfamily domain containing 2A 	113	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0036	0.0265	0.1807	-0.12	-0.12	N/A	2007
ANKFY1	ENST00000341657.4	ankyrin repeat and FYVE domain containing 1 	969	1	0	1	0	2	0	2	0	2	hsa-miR-328-3p	0.0974	0.5608	1.7729	-0.11	-0.16	N/A	NULL
SMC1A	ENST00000322213.4	structural maintenance of chromosomes 1A 	1626	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0338	0.2257	1.0710	-0.11	-0.11	N/A	2011
HM13	ENST00000335574.5	histocompatibility (minor) 13 	4848	1	0	1	0	1	0	1	0	2	hsa-miR-328-3p	0.0117	0.0824	0.4573	-0.11	-0.25	N/A	2011
CNIH4	ENST00000465271.1	cornichon family AMPA receptor auxiliary protein 4 	1348	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0156	0.0909	0.2640	-0.11	-0.33	N/A	NULL
ARPP19	ENST00000566423.1	cAMP-regulated phosphoprotein, 19kDa 	1316	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0145	0.0866	0.2850	-0.11	-0.40	N/A	2009, 2011
TSC1	ENST00000298552.3	tuberous sclerosis 1 	838	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0291	0.1943	0.8925	-0.11	-0.11	N/A	2011
TOM1	ENST00000382034.5	target of myb1 (chicken) 	309	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0255	0.1622	0.5886	-0.11	-0.11	N/A	NULL
ATPAF1	ENST00000576409.1	ATP synthase mitochondrial F1 complex assembly factor 1 	1637	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0148	0.1015	0.4952	-0.10	-0.12	N/A	NULL
MIB1	ENST00000261537.6	mindbomb E3 ubiquitin protein ligase 1 	897	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0564	0.2946	0.9398	-0.10	-0.26	N/A	2011
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	1	0	1	0	4*	1	1	1	3	hsa-miR-328-3p	0.1632	1.0479	4.2678	-0.10	-0.10	N/A	NULL
PLEKHA6	ENST00000272203.3	pleckstrin homology domain containing, family A member 6 	45	1	0	0	1	1	0	0	1	4	hsa-miR-328-3p	0.0196	0.1394	0.8476	-0.10	-0.38	N/A	2007, 2009, 2011
PTEN	ENST00000371953.3	phosphatase and tensin homolog 	118	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0116	0.0788	0.3602	-0.10	-0.12	N/A	NULL
RPS3	ENST00000278572.6	ribosomal protein S3 	1585	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0167	0.1031	0.3801	-0.10	-0.27	N/A	NULL
TOX4	ENST00000405508.1	TOX high mobility group box family member 4 	309	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0164	0.1114	0.5240	-0.10	-0.10	N/A	2009, 2011
C15orf37	ENST00000560255.1	chromosome 15 open reading frame 37 	194	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0082	0.0587	0.3576	-0.09	-0.09	N/A	2007
DYNLL2	ENST00000579991.2	dynein, light chain, LC8-type 2 	1162	1	0	1	0	1	1	0	0	1	hsa-miR-328-3p	0.0136	0.0894	0.4269	-0.09	-0.37	N/A	NULL
TMEM248	ENST00000341567.4	transmembrane protein 248 	3207	1	0	1	0	1	0	1	0	0	hsa-miR-328-3p	0.0321	0.2112	0.8937	-0.09	-0.10	N/A	2009, 2011
NHSL2	ENST00000540800.1	NHS-like 2 	5	1	0	1	0	1	0	1	0	0	hsa-miR-328-3p	0.0335	0.2276	1.0721	-0.09	-0.09	N/A	NULL
LEPROTL1	ENST00000321250.8	leptin receptor overlapping transcript-like 1 	1242	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0076	0.0505	0.2163	-0.09	-0.20	N/A	NULL
ARHGEF17	ENST00000263674.3	Rho guanine nucleotide exchange factor (GEF) 17 	729	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0239	0.1595	0.7295	-0.08	-0.08	N/A	2009, 2011
RGP1	ENST00000378078.4	RGP1 retrograde golgi transport homolog (S. cerevisiae) 	203	1	0	1	0	1	0	0	1	2	hsa-miR-328-3p	0.0220	0.1372	0.5206	-0.08	-0.36	N/A	NULL
LSM14B	ENST00000253001.4	LSM14B, SCD6 homolog B (S. cerevisiae) 	700	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0205	0.1320	0.5054	-0.08	-0.09	N/A	NULL
GOSR1	ENST00000225724.5	golgi SNAP receptor complex member 1 	668	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0273	0.1886	0.9459	-0.07	-0.10	N/A	2011
SOX11	ENST00000322002.3	SRY (sex determining region Y)-box 11 	1100	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0240	0.1131	0.3009	-0.07	-0.40	N/A	2007, 2009, 2011
SLC8A1	ENST00000406785.2	solute carrier family 8 (sodium/calcium exchanger), member 1 	61	1	0	1	0	1	1	0	0	2	hsa-miR-328-3p	0.0384	0.2391	0.9646	-0.07	-0.17	N/A	NULL
CREB1	ENST00000432329.2	cAMP responsive element binding protein 1 	295	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0245	0.1354	0.3972	-0.07	-0.18	N/A	NULL
AGO1	ENST00000373204.4	argonaute RISC catalytic component 1 	402	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0453	0.2961	1.3295	-0.06	-0.07	N/A	NULL
ETV6	ENST00000396373.4	ets variant 6 	44	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0106	0.0755	0.4547	-0.06	-0.17	N/A	2011
PPP2R5D	ENST00000485511.1	protein phosphatase 2, regulatory subunit B', delta 	1755	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0273	0.1825	0.8468	-0.06	-0.06	N/A	2011
RAP1GAP2	ENST00000254695.8	RAP1 GTPase activating protein 2 	123	1	1	0	0	1	0	1	0	1	hsa-miR-328-3p	0.0285	0.1977	1.0302	-0.06	-0.09	N/A	NULL
ASIC1	ENST00000228468.4	acid-sensing (proton-gated) ion channel 1 	111	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0171	0.1191	0.6327	-0.06	-0.06	N/A	NULL
CNOT2	ENST00000229195.3	CCR4-NOT transcription complex, subunit 2 	1189	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0176	0.0890	0.1969	-0.06	-0.26	N/A	2007, 2009, 2011
EPB41L1	ENST00000441639.1	erythrocyte membrane protein band 4.1-like 1 	369	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0262	0.1773	0.8339	-0.06	-0.07	N/A	2011
CELSR2	ENST00000271332.3	cadherin, EGF LAG seven-pass G-type receptor 2 	2475	1	0	0	1	0	0	0	0	1	hsa-miR-328-3p	0.0278	0.1986	1.2046	-0.06	-0.06	N/A	2007, 2011
PPIP5K1	ENST00000381885.1	diphosphoinositol pentakisphosphate kinase 1 	109	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0315	0.2075	0.9087	-0.06	-0.06	N/A	NULL
LMOD1	ENST00000367288.4	leiomodin 1 (smooth muscle) 	148	1	0	1	0	1	0	1	0	1	hsa-miR-328-3p	0.0098	0.0712	0.4785	-0.06	-0.11	N/A	2009, 2011
GTDC1	ENST00000392869.2	glycosyltransferase-like domain containing 1 	241	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0156	0.1080	0.5467	-0.05	-0.06	N/A	2009, 2011
LPP	ENST00000312675.4	LIM domain containing preferred translocation partner in lipoma 	1894	1	0	0	1	2	0	2	0	0	hsa-miR-328-3p	0.0892	0.5575	2.2202	-0.05	-0.05	N/A	2011
AP5M1	ENST00000261558.3	adaptor-related protein complex 5, mu 1 subunit 	198	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0164	0.0825	0.1818	-0.05	-0.22	N/A	NULL
MECP2	ENST00000303391.6	methyl CpG binding protein 2 (Rett syndrome) 	1474	2	1	1	0	0	0	0	0	3	hsa-miR-328-3p	0.0145	0.0946	0.4364	-0.04	-0.26	N/A	2007, 2009
CTIF	ENST00000256413.3	CBP80/20-dependent translation initiation factor 	154	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0209	0.1406	0.6457	-0.04	-0.04	N/A	2009, 2011
ESRRA	ENST00000405666.1	estrogen-related receptor alpha 	18	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0069	0.0500	0.3226	-0.04	-0.04	N/A	2007, 2011
DNAJB14	ENST00000442697.2	DnaJ (Hsp40) homolog, subfamily B, member 14 	10	1	0	0	1	0	0	0	0	0	hsa-miR-328-3p	0.0048	0.0335	0.1727	-0.04	-0.08	N/A	NULL
FGD1	ENST00000375135.3	FYVE, RhoGEF and PH domain containing 1 	138	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0079	0.0553	0.2972	-0.03	-0.04	N/A	2007, 2009, 2011
FMNL3	ENST00000335154.5	formin-like 3 	132	1	1	0	0	1	0	1	0	1	hsa-miR-328-3p	0.0208	0.1390	0.7019	-0.03	-0.12	N/A	NULL
SDK2	ENST00000392650.3	sidekick cell adhesion molecule 2 	8	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0203	0.1448	0.8765	-0.03	-0.03	N/A	2011
TMEM132B	ENST00000299308.3	transmembrane protein 132B 	5	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0427	0.2913	1.4411	-0.02	-0.02	N/A	2011
LIMD1	ENST00000273317.4	LIM domains containing 1 	1092	1	0	1	0	2	0	1	1	1	hsa-miR-328-3p	0.0147	0.1018	0.5330	-0.02	-0.07	N/A	2009, 2011
RAB3C	ENST00000282878.4	RAB3C, member RAS oncogene family 	242	1	0	0	1	1	0	0	1	1	hsa-miR-328-3p	0.0030	0.0201	0.0873	-0.02	-0.28	N/A	NULL
CBX8	ENST00000269385.4	chromobox homolog 8 	474	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0053	0.0354	0.1746	-0.02	-0.14	N/A	NULL
PLA2G12A	ENST00000243501.5	phospholipase A2, group XIIA 	214	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0061	0.0317	0.0802	-0.02	-0.21	N/A	NULL
CTNS	ENST00000046640.3	cystinosin, lysosomal cystine transporter 	308	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0044	0.0317	0.1969	-0.02	-0.07	N/A	2011
GRAMD1B	ENST00000529750.1	GRAM domain containing 1B 	35	1	0	1	0	1*	0	0	0	1	hsa-miR-328-3p	0.0182	0.1283	0.7137	-0.02	-0.11	N/A	NULL
DNAJC18	ENST00000302060.5	DnaJ (Hsp40) homolog, subfamily C, member 18 	253	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0042	0.0218	0.0684	-0.01	-0.40	N/A	2011
NUFIP2	ENST00000225388.4	nuclear fragile X mental retardation protein interacting protein 2 	440	1	0	1	0	1	0	0	1	1	hsa-miR-328-3p	0.0096	0.0608	0.2493	-0.01	-0.10	N/A	2009, 2011
RBP2	ENST00000232217.2	retinol binding protein 2, cellular 	46	1	0	1	0	0	0	0	0	2	hsa-miR-328-3p	0.0016	0.0114	0.0729	-0.01	-0.10	N/A	NULL
TGFB2	ENST00000366930.4	transforming growth factor, beta 2 	157	1	1	0	0	0	0	0	0	0	hsa-miR-328-3p	0.0005	0.0036	0.0154	-0.01	-0.21	N/A	2011
PLEKHG3	ENST00000247226.7	pleckstrin homology domain containing, family G (with RhoGef domain) member 3 	97	1	0	1	0	1	0	1	0	1	hsa-miR-328-3p	0.0074	0.0528	0.3353	-0.01	-0.12	N/A	NULL
SIX1	ENST00000247182.6	SIX homeobox 1 	1264	1	1	0	0	0	0	0	0	1	hsa-miR-328-3p	0.0030	0.0207	0.1335	0	-0.44	N/A	NULL
NIT1	ENST00000368007.4	nitrilase 1 	437	1	0	1	0	0	0	0	0	0	hsa-miR-328-3p	0.0003	0.0025	0.0161	0	-0.23	N/A	NULL
CACNG2	ENST00000300105.6	calcium channel, voltage-dependent, gamma subunit 2 	5	1	0	1	0	1	0	1	0	1	hsa-miR-328-3p	0.0017	0.0124	0.0868	0	-0.13	N/A	2011
HEYL	ENST00000372852.3	hairy/enhancer-of-split related with YRPW motif-like 	37	1	1	0	0	3	0	3	0	2	hsa-miR-328-3p	0.0130	0.0942	0.6100	0	-0.33	N/A	NULL
FKBP15	ENST00000238256.3	FK506 binding protein 15, 133kDa 	119	1	0	1	0	0	0	0	0	1	hsa-miR-328-3p	0.0038	0.0276	0.1971	0	-0.06	N/A	NULL
