Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZNF784	ENST00000591479.1	zinc finger protein 784 	19	1	0	1	0	1	0	1	0	0	hsa-miR-128-3p	0.0105	0.0747	0.4411	-0.26	-0.29	< 0.1	NULL
CSF1	ENST00000329608.6	colony stimulating factor 1 (macrophage) 	290	2	2	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0287	0.1885	0.7984	-0.26	-0.26	0.89	2005, 2007, 2009, 2011
NUS1	ENST00000368494.3	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) 	302	1	0	1	0	1	0	0	1	1	hsa-miR-128-3p	0.0164	0.1164	0.6642	-0.26	-0.26	0.81	2007, 2009, 2011
TMEM229A	ENST00000455783.1	transmembrane protein 229A 	5	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0134	0.0926	0.4711	-0.26	-0.26	0.55	2011
SMAP1	ENST00000370452.3	small ArfGAP 1 	64	1	0	1	0	1	0	1	0	1	hsa-miR-128-3p	0.0127	0.0899	0.5129	-0.26	-0.46	0.44	2009
TDP1	ENST00000393452.3	tyrosyl-DNA phosphodiesterase 1 	1031	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0069	0.0494	0.2869	-0.26	-0.26	< 0.1	NULL
CACYBP	ENST00000367681.2	calcyclin binding protein 	374	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0036	0.0258	0.1646	-0.25	-0.25	0.54	NULL
ARHGAP12	ENST00000311380.4	Rho GTPase activating protein 12 	190	1	1	0	0	0	0	0	0	2	hsa-miR-128-3p	0.0228	0.1577	0.8278	-0.25	-0.25	0.14	2005, 2007, 2009, 2011
GRIA1	ENST00000285900.5	glutamate receptor, ionotropic, AMPA 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0210	0.1415	0.6668	-0.25	-0.25	0.43	2009, 2011
FAM133A	ENST00000538690.1	family with sequence similarity 133, member A 	14	1	0	1	0	2	1	1	0	1	hsa-miR-128-3p	0.0210	0.1440	0.7705	-0.25	-0.54	0.35	NULL
CBFB	ENST00000290858.6	core-binding factor, beta subunit 	3904	1	0	0	1	0	0	0	0	1	hsa-miR-128-3p	0.0129	0.0895	0.4667	-0.25	-0.26	0.60	NULL
AGFG2	ENST00000262935.4	ArfGAP with FG repeats 2 	3985	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0147	0.0994	0.4492	-0.25	-0.25	0.62	2009, 2011
WDR7	ENST00000254442.3	WD repeat domain 7 	365	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0487	0.2877	0.9397	-0.25	-0.27	0.81	2009, 2011
C19orf81	ENST00000425202.1	chromosome 19 open reading frame 81 	63	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0051	0.0368	0.2200	-0.25	-0.25	0.61	2011
DAZAP2	ENST00000412716.3	DAZ associated protein 2 	4265	1	0	1	0	1	0	0	1	0	hsa-miR-128-3p	0.0144	0.0994	0.5113	-0.25	-0.27	0.41	2005, 2007, 2009, 2011
EN1	ENST00000295206.6	engrailed homeobox 1 	16	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0044	0.0315	0.1955	-0.25	-0.25	0.18	2007, 2011
DDAH1	ENST00000535924.2	dimethylarginine dimethylaminohydrolase 1 	46	1	0	1	0	2	0	0	2	2	hsa-miR-128-3p	0.0225	0.1610	0.9804	-0.25	-0.38	0.45	2009, 2011
ACTA2	ENST00000224784.6	actin, alpha 2, smooth muscle, aorta 	8771	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0138	0.0938	0.4434	-0.25	-0.25	0.61	2009, 2011
GALNT5	ENST00000259056.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5) 	462	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0169	0.1155	0.5722	-0.25	-0.25	0.65	NULL
DLGAP3	ENST00000373347.1	discs, large (Drosophila) homolog-associated protein 3 	8	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0522	0.2922	0.7929	-0.25	-0.25	0.91	2009, 2011
NDUFS4	ENST00000296684.5	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase) 	125	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0034	0.0248	0.1583	-0.25	-0.25	0.54	2005, 2007, 2009, 2011
UBR1	ENST00000382177.2	ubiquitin protein ligase E3 component n-recognin 1 	11	2	1	1	0	3	0	0	3	1	hsa-miR-128-3p	0.0355	0.2438	1.2831	-0.25	-0.36	0.70	2007, 2009, 2011
FUBP3	ENST00000319725.9	far upstream element (FUSE) binding protein 3 	121	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0146	0.1009	0.5108	-0.25	-0.25	0.55	2007, 2009, 2011
MAPK6	ENST00000261845.5	mitogen-activated protein kinase 6 	24	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0226	0.1495	0.6514	-0.25	-0.25	0.79	2005, 2007, 2009, 2011
VPS4B	ENST00000238497.5	vacuolar protein sorting 4 homolog B (S. cerevisiae) 	180	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0139	0.0953	0.4637	-0.25	-0.25	0.47	2005, 2007, 2009, 2011
CITED2	ENST00000367651.2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 	1071	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0106	0.0752	0.4235	-0.25	-0.30	0.53	2005, 2007, 2009, 2011
PPME1	ENST00000328257.8	protein phosphatase methylesterase 1 	343	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0185	0.1264	0.6189	-0.24	-0.24	0.86	2007, 2009, 2011
LRRFIP1	ENST00000308482.9	leucine rich repeat (in FLII) interacting protein 1 	525	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0141	0.0958	0.4391	-0.24	-0.24	0.84	2011
KIAA1033	ENST00000332180.5	KIAA1033 	238	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0532	0.3006	0.8631	-0.24	-0.24	0.84	2005, 2007, 2009, 2011
EYA4	ENST00000367895.5	eyes absent homolog 4 (Drosophila) 	242	1	0	0	1	2	0	1	1	1	hsa-miR-128-3p	0.0256	0.1786	0.9499	-0.24	-0.26	0.78	2005, 2007, 2009, 2011
CRKL	ENST00000354336.3	v-crk avian sarcoma virus CT10 oncogene homolog-like 	2142	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0172	0.1180	0.5791	-0.24	-0.25	0.86	2005, 2007, 2009, 2011
PDE8B	ENST00000264917.5	phosphodiesterase 8B 	186	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0493	0.2903	0.9507	-0.24	-0.24	0.89	2009, 2011
UNKL	ENST00000389221.4	unkempt homolog (Drosophila)-like 	308	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	0.0182	0.1280	0.7046	-0.24	-0.25	0.78	2009, 2011
JHDM1D	ENST00000397560.2	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae) 	470	1	0	1	0	4	0	2	2	2	hsa-miR-128-3p	0.0342	0.2443	1.4664	-0.24	-0.25	0.93	2009, 2011
TMEM132E	ENST00000321639.5	transmembrane protein 132E 	461	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0158	0.1094	0.5644	-0.24	-0.24	0.70	2007, 2009, 2011
GPD2	ENST00000540309.1	glycerol-3-phosphate dehydrogenase 2 (mitochondrial) 	196	1	1	0	0	1	0	0	1	1	hsa-miR-128-3p	0.0362	0.2347	0.9514	-0.24	-0.25	0.48	2007, 2009, 2011
LDLRAD3	ENST00000315571.5	low density lipoprotein receptor class A domain containing 3 	90	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	0.0175	0.1220	0.6459	-0.24	-0.24	< 0.1	NULL
GOLM1	ENST00000388712.3	golgi membrane protein 1 	4212	1	0	0	1	0	0	0	0	1	hsa-miR-128-3p	0.0138	0.0966	0.5141	-0.24	-0.24	0.53	2007, 2009
REPS1	ENST00000450536.2	RALBP1 associated Eps domain containing 1 	725	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0010	0.0076	0.0537	-0.24	-0.24	< 0.1	2007, 2009, 2011
C1orf52	ENST00000471115.1	chromosome 1 open reading frame 52 	1516	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0112	0.0772	0.3880	-0.24	-0.24	0.78	2007, 2009, 2011
GNS	ENST00000418919.2	glucosamine (N-acetyl)-6-sulfatase 	2435	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	0.0170	0.1224	0.7644	-0.24	-0.25	0.83	2009, 2011
ELOVL6	ENST00000394607.3	ELOVL fatty acid elongase 6 	901	1	0	1	0	1	1	0	0	1	hsa-miR-128-3p	0.0302	0.2056	0.9725	-0.24	-0.24	0.87	2005, 2007, 2009, 2011
DCP1A	ENST00000607628.1	decapping mRNA 1A 	87	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0368	0.2281	0.8245	-0.24	-0.24	0.86	2011
SLC39A13	ENST00000524928.1	solute carrier family 39 (zinc transporter), member 13 	845	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0645	0.3543	1.0201	-0.24	-0.24	0.74	2005, 2007, 2009, 2011
DCX	ENST00000356915.2	doublecortin 	5	1	1	0	0	3	0	2	1	0	hsa-miR-128-3p	0.0416	0.2773	1.3158	-0.24	-0.24	0.94	2005, 2007, 2009, 2011
WBP1L	ENST00000369889.4	WW domain binding protein 1-like 	5	1	1	0	0	0	0	0	0	4	hsa-miR-128-3p	0.0308	0.2068	0.9976	-0.24	-0.24	0.73	2009, 2011
UAP1	ENST00000367926.4	UDP-N-acteylglucosamine pyrophosphorylase 1 	1738	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0177	0.1185	0.5166	-0.24	-0.24	0.62	NULL
LIN28B	ENST00000345080.4	lin-28 homolog B (C. elegans) 	118	1	0	0	1	1	0	0	1	0	hsa-miR-128-3p	0.0127	0.0921	0.5976	-0.24	-0.24	0.60	2011
FRMPD3	ENST00000276185.4	FERM and PDZ domain containing 3 	0	2	1	1	0	1	0	1	0	0	hsa-miR-128-3p	0.0395	0.2751	1.4723	-0.24	-0.24	0.73	NULL
MLLT10	ENST00000377072.3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 	495	1	0	1	0	2	0	2	0	0	hsa-miR-128-3p	0.0285	0.1900	0.8620	-0.24	-0.26	0.51	2009, 2011
STRN4	ENST00000263280.6	striatin, calmodulin binding protein 4 	1039	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0167	0.1126	0.5116	-0.24	-0.24	0.63	2005, 2007, 2011
TMEM64	ENST00000458549.2	transmembrane protein 64 	200	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0152	0.1016	0.4526	-0.24	-0.31	0.78	2007, 2009, 2011
C8orf4	ENST00000315792.3	chromosome 8 open reading frame 4 	3820	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0134	0.0914	0.4266	-0.24	-0.24	0.75	2009, 2011
MME	ENST00000460393.1	membrane metallo-endopeptidase 	37	1	0	1	0	1	0	0	1	1	hsa-miR-128-3p	0.0157	0.1114	0.6499	-0.24	-0.24	0.21	2005, 2007
SNX18	ENST00000343017.6	sorting nexin 18 	174	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0798	0.4060	1.0120	-0.23	-0.23	0.88	2009, 2011
PTPN5	ENST00000477854.1	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) 	5	2	0	2	0	0	0	0	0	0	hsa-miR-128-3p	0.0208	0.1407	0.6614	-0.23	-0.23	0.65	2007, 2009, 2011
KLF4	ENST00000374672.4	Kruppel-like factor 4 (gut) 	22	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0114	0.0820	0.4948	-0.23	-0.23	0.54	2005, 2007, 2009, 2011
ZEB1	ENST00000361642.5	zinc finger E-box binding homeobox 1 	59	1	0	1	0	1	0	0	1	1	hsa-miR-128-3p	0.0244	0.1663	0.8204	-0.23	-0.24	0.42	NULL
SRGAP2	ENST00000414007.1	SLIT-ROBO Rho GTPase activating protein 2 	98	2	2	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0600	0.3724	1.3176	-0.23	-0.26	0.97	NULL
KLHDC8A	ENST00000367155.3	kelch domain containing 8A 	8	1	0	1	0	1	0	1	0	2	hsa-miR-128-3p	0.0131	0.0914	0.4855	-0.23	-0.25	0.87	2007, 2009, 2011
UBE2F	ENST00000272930.4	ubiquitin-conjugating enzyme E2F (putative) 	905	1	0	0	1	0	0	0	0	2	hsa-miR-128-3p	0.0107	0.0766	0.4655	-0.23	-0.27	0.57	2007, 2011
TRMT2A	ENST00000404751.3	tRNA methyltransferase 2 homolog A (S. cerevisiae) 	455	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0142	0.0970	0.4632	-0.23	-0.23	< 0.1	NULL
UGCG	ENST00000374279.3	UDP-glucose ceramide glucosyltransferase 	1200	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0178	0.1254	0.7208	-0.23	-0.24	0.48	NULL
FBXO30	ENST00000237281.4	F-box protein 30 	224	1	0	1	0	2	0	1	1	0	hsa-miR-128-3p	0.0198	0.1377	0.7413	-0.23	-0.24	0.19	2005, 2007
TAF4	ENST00000252996.4	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa 	61	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0087	0.0608	0.3219	-0.23	-0.24	0.46	2005, 2007, 2009, 2011
GCC2	ENST00000309863.6	GRIP and coiled-coil domain containing 2 	5	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	0.0261	0.1836	1.0197	-0.23	-0.23	0.87	2007, 2009, 2011
DNAJC3	ENST00000602402.1	DnaJ (Hsp40) homolog, subfamily C, member 3 	125	1	1	0	0	2	0	2	0	1	hsa-miR-128-3p	0.0297	0.2124	1.2715	-0.23	-0.28	< 0.1	2011
HIPK2	ENST00000406875.3	homeodomain interacting protein kinase 2 	48	3	0	1	2	3	0	2	1	3	hsa-miR-128-3p	0.0544	0.3870	2.2924	-0.23	-0.23	0.94	2009, 2011
TRABD	ENST00000303434.4	TraB domain containing 	2527	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0120	0.0832	0.4312	-0.23	-0.23	0.43	2011
BCORL1	ENST00000540052.1	BCL6 corepressor-like 1 	209	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0275	0.1684	0.5552	-0.23	-0.28	0.88	2005, 2007, 2009, 2011
FLRT3	ENST00000378053.3	fibronectin leucine rich transmembrane protein 3 	11	1	0	0	1	1	0	0	1	0	hsa-miR-128-3p	0.0149	0.1055	0.6010	-0.23	-0.26	0.78	2007, 2009, 2011
ARHGEF11	ENST00000368194.3	Rho guanine nucleotide exchange factor (GEF) 11 	346	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0135	0.0929	0.4669	-0.23	-0.23	0.66	2005, 2007, 2009, 2011
FAM155B	ENST00000252338.4	family with sequence similarity 155, member B 	21	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0185	0.1230	0.5228	-0.23	-0.23	0.80	2005, 2007, 2009, 2011
NLN	ENST00000380985.5	neurolysin (metallopeptidase M3 family) 	885	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0096	0.0677	0.3857	-0.23	-0.23	0.67	2011
CNR1	ENST00000362094.5	cannabinoid receptor 1 (brain) 	40	1	0	1	0	1	0	0	1	1	hsa-miR-128-3p	0.0103	0.0745	0.4745	-0.23	-0.27	0.48	2005, 2007, 2009, 2011
RUNX1	ENST00000344691.4	runt-related transcription factor 1 	182	1	0	0	1	0	0	0	0	1	hsa-miR-128-3p	0.0132	0.0942	0.5660	-0.23	-0.26	0.77	2011
OTX2	ENST00000339475.5	orthodenticle homeobox 2 	5	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0105	0.0738	0.4042	-0.23	-0.23	0.68	2005, 2007, 2009, 2011
MPPED2	ENST00000358117.5	metallophosphoesterase domain containing 2 	42	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0080	0.0567	0.3274	-0.23	-0.23	0.51	2007, 2009, 2011
TMCC1	ENST00000432054.2	transmembrane and coiled-coil domain family 1 	97	1	0	0	1	0	0	0	0	1	hsa-miR-128-3p	0.0242	0.1589	0.6738	-0.23	-0.23	0.75	2007, 2009, 2011
KCNN3	ENST00000271915.4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 	5	2	0	0	2	3	0	1	2	2	hsa-miR-128-3p	0.0366	0.2606	1.5454	-0.23	-0.23	0.89	2011
E2F7	ENST00000416496.2	E2F transcription factor 7 	308	1	0	0	1	0	0	0	0	4	hsa-miR-128-3p	0.0317	0.2092	0.9373	-0.23	-0.23	0.74	2007, 2009, 2011
RRAS	ENST00000246792.3	related RAS viral (r-ras) oncogene homolog 	267	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0075	0.0527	0.2913	-0.22	-0.22	0.21	2011
TMEM91	ENST00000539627.1	transmembrane protein 91 	231	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0135	0.0920	0.4281	-0.22	-0.22	< 0.1	NULL
PPFIA2	ENST00000549396.1	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0438	0.2539	0.7336	-0.22	-0.22	0.73	2011
ARL8B	ENST00000419534.2	ADP-ribosylation factor-like 8B 	664	1	0	1	0	2	0	1	1	2	hsa-miR-128-3p	0.0114	0.0818	0.5038	-0.22	-0.28	0.12	2007
STK35	ENST00000381482.3	serine/threonine kinase 35 	263	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	0.0249	0.1683	0.8170	-0.22	-0.24	0.88	2005, 2007, 2009, 2011
C2CD2	ENST00000329623.7	C2 calcium-dependent domain containing 2 	106	2	1	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0457	0.3028	1.3249	-0.22	-0.22	0.71	2009, 2011
TMEM151B	ENST00000451188.2	transmembrane protein 151B 	5	1	0	1	0	0	0	0	0	4	hsa-miR-128-3p	0.0165	0.1195	0.7644	-0.22	-0.22	0.52	2011
AMMECR1L	ENST00000272647.5	AMMECR1-like 	21	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0267	0.1739	0.7349	-0.22	-0.25	0.65	2007, 2009, 2011
SV2A	ENST00000369146.3	synaptic vesicle glycoprotein 2A 	10	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0226	0.1533	0.7387	-0.22	-0.22	0.88	2005, 2007, 2009, 2011
FAM102A	ENST00000373095.1	family with sequence similarity 102, member A 	85	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0663	0.3526	0.9050	-0.22	-0.22	0.84	2009, 2011
NAA15	ENST00000296543.5	N(alpha)-acetyltransferase 15, NatA auxiliary subunit 	546	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0251	0.1643	0.6835	-0.22	-0.22	0.75	2005, 2007, 2009, 2011
CCDC149	ENST00000428116.2	coiled-coil domain containing 149 	187	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	0.0061	0.0436	0.2551	-0.22	-0.31	0.57	2011
GOLGA6C	ENST00000300576.5	golgin A6 family, member C 	0	1	1	0	0	1	0	0	1	1	hsa-miR-128-3p	0.0306	0.2092	1.0505	-0.22	-0.22	0.47	NULL
ABL2	ENST00000502732.1	c-abl oncogene 2, non-receptor tyrosine kinase 	892	1	0	0	1	3	0	2	1	0	hsa-miR-128-3p	0.0227	0.1648	1.0855	-0.22	-0.23	0.80	2009, 2011
RSBN1L	ENST00000334955.8	round spermatid basic protein 1-like 	640	2	0	1	1	1	0	0	1	0	hsa-miR-128-3p	0.0190	0.1322	0.7140	-0.22	-0.36	0.84	NULL
TEAD1	ENST00000361905.4	TEA domain family member 1 (SV40 transcriptional enhancer factor) 	740	2	1	0	1	1	0	1	0	2	hsa-miR-128-3p	0.0363	0.2540	1.4007	-0.22	-0.23	0.90	2009, 2011
KIAA1045	ENST00000242315.3	KIAA1045 	42	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0520	0.2917	0.8012	-0.22	-0.22	0.61	2009, 2011
NGLY1	ENST00000422724.2	N-glycanase 1 	31	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0052	0.0380	0.2579	-0.22	-0.22	< 0.1	NULL
POM121C	ENST00000257665.5	POM121 transmembrane nucleoporin C 	5	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0113	0.0790	0.4335	-0.22	-0.22	0.67	2011
AGFG1	ENST00000310078.8	ArfGAP with FG repeats 1 	2019	1	0	0	1	1	0	1	0	1	hsa-miR-128-3p	0.0173	0.1258	0.8256	-0.22	-0.22	0.73	2009, 2011
ING5	ENST00000313552.6	inhibitor of growth family, member 5 	529	1	0	0	1	2	0	2	0	0	hsa-miR-128-3p	0.0229	0.1574	0.8052	-0.22	-0.23	0.77	2007, 2009, 2011
GNG12	ENST00000370982.3	guanine nucleotide binding protein (G protein), gamma 12 	1362	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0145	0.1024	0.5678	-0.22	-0.23	0.63	2005, 2007, 2009, 2011
PPIF	ENST00000394579.3	peptidylprolyl isomerase F 	9304	1	0	0	1	0	0	0	0	1	hsa-miR-128-3p	0.0156	0.1076	0.5442	-0.21	-0.21	0.73	2009, 2011
ULK1	ENST00000321867.4	unc-51 like autophagy activating kinase 1 	3083	1	0	1	0	1	0	1	0	0	hsa-miR-128-3p	0.0189	0.1302	0.6613	-0.21	-0.21	0.70	2005, 2007, 2009, 2011
TSTD2	ENST00000341170.4	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2 	219	1	0	1	0	1	0	1	0	0	hsa-miR-128-3p	0.0151	0.1068	0.6127	-0.21	-0.21	0.65	2005, 2007, 2009, 2011
C17orf85	ENST00000158149.3	chromosome 17 open reading frame 85 	718	1	0	0	1	3	0	2	1	2	hsa-miR-128-3p	0.0099	0.0706	0.4208	-0.21	-0.46	0.73	2007, 2009, 2011
SMPD3	ENST00000219334.5	sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II) 	9	2	0	1	1	0	0	0	0	0	hsa-miR-128-3p	0.0157	0.1111	0.6253	-0.21	-0.21	0.70	2009, 2011
DUSP5	ENST00000369583.3	dual specificity phosphatase 5 	600	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0138	0.0951	0.4826	-0.21	-0.21	0.55	2005, 2007, 2009, 2011
TYW1	ENST00000359626.5	tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) 	7	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0221	0.1450	0.6006	-0.21	-0.21	< 0.1	NULL
ZKSCAN2	ENST00000328086.7	zinc finger with KRAB and SCAN domains 2 	81	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0357	0.2246	0.8599	-0.21	-0.22	0.75	2007, 2009, 2011
GAB1	ENST00000262995.4	GRB2-associated binding protein 1 	26	3	0	0	3	0	0	0	0	2	hsa-miR-128-3p	0.0272	0.1905	1.0542	-0.21	-0.35	0.98	2011
GOLGA6A	ENST00000290438.3	golgin A6 family, member A 	5	1	1	0	0	1	0	0	1	1	hsa-miR-128-3p	0.0207	0.1385	0.6262	-0.21	-0.28	0.46	NULL
MCF2L	ENST00000397030.1	MCF.2 cell line derived transforming sequence-like 	79	1	0	1	0	1	0	1	0	1	hsa-miR-128-3p	0.0217	0.1464	0.6901	-0.21	-0.23	0.69	2009, 2011
MPP6	ENST00000222644.5	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6) 	389	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0223	0.1404	0.5228	-0.21	-0.34	0.92	NULL
RET	ENST00000355710.3	ret proto-oncogene 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0253	0.1666	0.7150	-0.21	-0.21	0.23	2011
TGFBR1	ENST00000374994.4	transforming growth factor, beta receptor 1 	249	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0311	0.1930	0.6800	-0.21	-0.23	0.70	2007, 2009, 2011
WNK3	ENST00000375169.3	WNK lysine deficient protein kinase 3 	55	1	0	0	1	1	0	1	0	1	hsa-miR-128-3p	0.0287	0.2072	1.3364	-0.21	-0.21	0.62	2011
PLXNC1	ENST00000258526.4	plexin C1 	47	1	0	1	0	0	0	0	0	2	hsa-miR-128-3p	0.0261	0.1776	0.8715	-0.21	-0.32	0.42	NULL
MAP2K7	ENST00000397981.3	mitogen-activated protein kinase kinase 7 	164	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	0.0399	0.2351	0.6943	-0.21	-0.21	0.88	2005, 2007, 2009, 2011
TMEM170A	ENST00000357613.4	transmembrane protein 170A 	70	1	0	0	1	2	0	1	1	0	hsa-miR-128-3p	0.0192	0.1352	0.7574	-0.21	-0.34	0.73	NULL
SPRY2	ENST00000377102.1	sprouty homolog 2 (Drosophila) 	139	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0115	0.0809	0.4387	-0.21	-0.21	0.69	2007, 2009, 2011
MYOCD	ENST00000425538.1	myocardin 	62	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0152	0.1071	0.6113	-0.21	-0.21	0.67	2011
SP4	ENST00000222584.3	Sp4 transcription factor 	131	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0187	0.1263	0.5891	-0.21	-0.21	0.44	2007, 2009, 2011
NPEPPS	ENST00000322157.4	aminopeptidase puromycin sensitive 	2194	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0119	0.0828	0.4352	-0.21	-0.21	0.79	2007, 2009, 2011
ERMP1	ENST00000381506.3	endoplasmic reticulum metallopeptidase 1 	53	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	0.0170	0.1188	0.6486	-0.21	-0.22	< 0.1	NULL
PPP4R2	ENST00000356692.5	protein phosphatase 4, regulatory subunit 2 	310	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0176	0.1240	0.7073	-0.21	-0.21	0.62	NULL
RP11-122A3.2	ENST00000517562.2	uncharacterized protein LOC100127983  	579	1	0	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0031	0.0226	0.1484	-0.21	-0.21	0.52	NULL
GCC1	ENST00000321407.2	GRIP and coiled-coil domain containing 1 	26	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0115	0.0802	0.4223	-0.21	-0.21	0.47	2005, 2007, 2009, 2011
C7orf76	ENST00000356686.1	chromosome 7 open reading frame 76 	5	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	0.0088	0.0637	0.4001	-0.21	-0.21	0.13	NULL
GATAD2A	ENST00000360315.3	GATA zinc finger domain containing 2A 	986	2	1	0	1	0	0	0	0	0	hsa-miR-128-3p	0.0410	0.2543	0.9015	-0.21	-0.25	0.84	2007, 2009, 2011
