Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
RPL23	ENST00000479035.2	ribosomal protein L23 	1154	1	0	1	0	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
CHMP7	ENST00000313219.7	charged multivesicular body protein 7 	124	1	0	0	1	0	hsa-miR-1292-5p				-0.18	-0.22	N/A
C5orf64	ENST00000505642.1	chromosome 5 open reading frame 64 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
VSTM4	ENST00000332853.4	V-set and transmembrane domain containing 4 	59	1	0	0	1	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
CRISPLD2	ENST00000262424.5	cysteine-rich secretory protein LCCL domain containing 2 	397	3	0	1	2	2	hsa-miR-1292-5p				-0.18	-0.21	N/A
TYR	ENST00000263321.5	tyrosinase 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
DICER1	ENST00000541352.1	dicer 1, ribonuclease type III 	25	2	0	0	2	2	hsa-miR-1292-5p				-0.18	-0.25	N/A
GDF11	ENST00000257868.5	growth differentiation factor 11 	847	1	0	1	0	1	hsa-miR-1292-5p				-0.18	-0.18	N/A
FAM196B	ENST00000377365.3	family with sequence similarity 196, member B 	174	1	0	0	1	1	hsa-miR-1292-5p				-0.18	-0.19	N/A
DLX2	ENST00000234198.4	distal-less homeobox 2 	653	1	0	0	1	1	hsa-miR-1292-5p				-0.18	-0.18	N/A
C2CD4C	ENST00000332235.6	C2 calcium-dependent domain containing 4C 	70	1	0	0	1	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
HSD3B7	ENST00000353250.5	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 	173	1	0	0	1	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
TMEM236	ENST00000480516.1		5	2	0	1	1	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
PDE10A	ENST00000366882.1	phosphodiesterase 10A 	371	2	1	0	1	0	hsa-miR-1292-5p				-0.18	-0.26	N/A
ADO	ENST00000373783.1	2-aminoethanethiol (cysteamine) dioxygenase 	686	1	0	0	1	1	hsa-miR-1292-5p				-0.18	-0.20	N/A
FOXP2	ENST00000408937.3	forkhead box P2 	169	1	0	1	0	1	hsa-miR-1292-5p				-0.18	-0.23	N/A
MAPK1IP1L	ENST00000395468.4	mitogen-activated protein kinase 1 interacting protein 1-like 	4002	1	0	1	0	0	hsa-miR-1292-5p				-0.18	-0.18	N/A
AMPH	ENST00000325590.5	amphiphysin 	16	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
TMEM236	ENST00000377495.1	transmembrane protein 236 	5	2	0	1	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
C17orf103	ENST00000468196.1	chromosome 17 open reading frame 103 	54	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
KL	ENST00000380099.3	klotho 	5	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
FBLN2	ENST00000404922.3	fibulin 2 	59	1	1	0	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
ABCC1	ENST00000399408.2	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 	441	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
LSM4	ENST00000593829.1	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) 	469	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.25	N/A
ADCY5	ENST00000462833.1	adenylate cyclase 5 	25	1	0	1	0	1	hsa-miR-1292-5p				-0.17	-0.22	N/A
CDC23	ENST00000394886.2	cell division cycle 23 	740	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.18	N/A
PTPRC	ENST00000367376.2	protein tyrosine phosphatase, receptor type, C 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
CNGB3	ENST00000320005.5	cyclic nucleotide gated channel beta 3 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
TCF19	ENST00000376257.3	transcription factor 19 	881	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
ERCC6L	ENST00000373657.1	excision repair cross-complementing rodent repair deficiency, complementation group 6-like 	82	3	0	1	2	1	hsa-miR-1292-5p				-0.17	-0.28	N/A
GATA4	ENST00000335135.4	GATA binding protein 4 	5	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
RNF222	ENST00000344001.3	ring finger protein 222 	5	1	0	1	0	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
C19orf40	ENST00000588258.1	chromosome 19 open reading frame 40 	129	2	0	0	2	0	hsa-miR-1292-5p				-0.17	-0.28	N/A
SH3BGRL2	ENST00000369838.4	SH3 domain binding glutamic acid-rich protein like 2 	32	1	0	0	1	2	hsa-miR-1292-5p				-0.17	-0.29	N/A
PKNOX2	ENST00000298282.9	PBX/knotted 1 homeobox 2 	46	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
LRRC56	ENST00000270115.7	leucine rich repeat containing 56 	60	1	0	1	0	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
SLC8B1	ENST00000552014.1	solute carrier family 8 (sodium/lithium/calcium exchanger), member B1 	34	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
ATP6V1B2	ENST00000276390.2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2 	97	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
PTGIR	ENST00000291294.2	prostaglandin I2 (prostacyclin) receptor (IP) 	20	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
BEND3	ENST00000369042.1	BEN domain containing 3 	13	2	0	2	0	0	hsa-miR-1292-5p				-0.17	-0.27	N/A
TNF	ENST00000449264.2	tumor necrosis factor 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
LRCH3	ENST00000438796.2	leucine-rich repeats and calponin homology (CH) domain containing 3 	399	2	1	0	1	0	hsa-miR-1292-5p				-0.17	-0.23	N/A
DCAF17	ENST00000375255.3	DDB1 and CUL4 associated factor 17 	49	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
RNF112	ENST00000461366.1	ring finger protein 112 	27	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
DNASE1L2	ENST00000564065.1	deoxyribonuclease I-like 2 	35	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
PCK1	ENST00000319441.4	phosphoenolpyruvate carboxykinase 1 (soluble) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
GIPC1	ENST00000393029.3	GIPC PDZ domain containing family, member 1 	2934	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
CAPN10	ENST00000404753.3	calpain 10 	279	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
RNF220	ENST00000372247.2	ring finger protein 220 	474	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
C10orf35	ENST00000373279.4	chromosome 10 open reading frame 35 	84	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
CORO6	ENST00000388767.3	coronin 6 	48	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.21	N/A
PACS2	ENST00000447393.1	phosphofurin acidic cluster sorting protein 2 	234	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
TIE1	ENST00000372476.3	tyrosine kinase with immunoglobulin-like and EGF-like domains 1 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
TKTL1	ENST00000369915.3	transketolase-like 1 	6	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
SLC36A1	ENST00000243389.3	solute carrier family 36 (proton/amino acid symporter), member 1 	236	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
GPR68	ENST00000531499.2	G protein-coupled receptor 68 	5	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
NUDT11	ENST00000375992.3	nudix (nucleoside diphosphate linked moiety X)-type motif 11 	28	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
TNFAIP2	ENST00000560869.1	tumor necrosis factor, alpha-induced protein 2 	442	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
FAM206A	ENST00000322940.6	family with sequence similarity 206, member A 	266	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
GALNTL6	ENST00000506823.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6 	26	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
GPR114	ENST00000340339.4	G protein-coupled receptor 114 	5	1	1	0	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
SMTNL1	ENST00000457912.1	smoothelin-like 1 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
APLN	ENST00000307484.6	apelin 	48	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
ATP8A1	ENST00000381668.5	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 	48	2	0	0	2	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
ANAPC7	ENST00000455511.3	anaphase promoting complex subunit 7 	819	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.18	N/A
MRM1	ENST00000250156.7	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae) 	84	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.19	N/A
ARHGAP35	ENST00000404338.3	Rho GTPase activating protein 35 	278	1	1	0	0	2	hsa-miR-1292-5p				-0.17	-0.17	N/A
PADI3	ENST00000375460.3	peptidyl arginine deiminase, type III 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
SHPK	ENST00000572705.1	transient receptor potential cation channel subfamily V member 1  	10	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
HNF1A	ENST00000257555.6	HNF1 homeobox A 	377	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
SNUPN	ENST00000567134.1	snurportin 1 	353	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
TRPV1	ENST00000399759.3	transient receptor potential cation channel, subfamily V, member 1 	10	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
KIAA1841	ENST00000402291.1	KIAA1841 	62	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.20	N/A
THTPA	ENST00000288014.6	thiamine triphosphatase 	14	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.20	N/A
MUT	ENST00000274813.3	methylmalonyl CoA mutase 	49	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.22	N/A
CXADR	ENST00000356275.6	coxsackie virus and adenovirus receptor 	56	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
TMEM62	ENST00000260403.2	transmembrane protein 62 	9	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
SCYL3	ENST00000367771.6	SCY1-like 3 (S. cerevisiae) 	124	2	0	0	2	1	hsa-miR-1292-5p				-0.17	-0.21	N/A
HSPBAP1	ENST00000383659.1	HSPB (heat shock 27kDa) associated protein 1 	22	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
ACSL5	ENST00000354273.4	acyl-CoA synthetase long-chain family member 5 	104	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.26	N/A
UBASH3B	ENST00000284273.5	ubiquitin associated and SH3 domain containing B 	281	1	0	1	0	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
TTC13	ENST00000366661.4	tetratricopeptide repeat domain 13 	3928	4	0	0	4	1	hsa-miR-1292-5p				-0.17	-0.43	N/A
DPP6	ENST00000404039.1	dipeptidyl-peptidase 6 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
TRIM68	ENST00000300747.5	tripartite motif containing 68 	98	1	0	1	0	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
FAM214B	ENST00000378566.1	family with sequence similarity 214, member B 	8	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
ANKRD10	ENST00000375758.5	ankyrin repeat domain 10 	37	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
CPXM2	ENST00000241305.3	carboxypeptidase X (M14 family), member 2 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
FBXL2	ENST00000484457.1	F-box and leucine-rich repeat protein 2 	12	1	0	0	1	0	hsa-miR-1292-5p				-0.17	-0.17	N/A
ZBED1	ENST00000381223.4	zinc finger, BED-type containing 1 	5	1	0	1	0	1	hsa-miR-1292-5p				-0.17	-0.17	N/A
TMEM87B	ENST00000283206.4	transmembrane protein 87B 	219	2	0	0	2	0	hsa-miR-1292-5p				-0.16	-0.20	N/A
KEAP1	ENST00000171111.5	kelch-like ECH-associated protein 1 	2169	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.17	N/A
SLC43A1	ENST00000278426.3	solute carrier family 43 (amino acid system L transporter), member 1 	483	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.30	N/A
ALG2	ENST00000476832.1	ALG2, alpha-1,3/1,6-mannosyltransferase 	1301	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.19	N/A
C17orf53	ENST00000245382.6	chromosome 17 open reading frame 53 	12	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
TGOLN2	ENST00000377386.3	trans-golgi network protein 2 	1914	1	0	0	1	2	hsa-miR-1292-5p				-0.16	-0.18	N/A
CCR7	ENST00000246657.2	chemokine (C-C motif) receptor 7 	5	1	0	0	1	2	hsa-miR-1292-5p				-0.16	-0.20	N/A
AMPD2	ENST00000342115.4	adenosine monophosphate deaminase 2 	216	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
PAQR7	ENST00000374296.3	progestin and adipoQ receptor family member VII 	106	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
TRIM62	ENST00000291416.5	tripartite motif containing 62 	28	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
SDK1	ENST00000404826.2	sidekick cell adhesion molecule 1 	60	2	0	2	0	1	hsa-miR-1292-5p				-0.16	-0.22	N/A
UNC45B	ENST00000268876.5	unc-45 homolog B (C. elegans) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
GALNT6	ENST00000543196.2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6) 	83	1	0	0	1	2	hsa-miR-1292-5p				-0.16	-0.16	N/A
EMILIN2	ENST00000254528.3	elastin microfibril interfacer 2 	272	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
ARHGAP32	ENST00000524655.1	Rho GTPase activating protein 32 	13	2	0	0	2	2	hsa-miR-1292-5p				-0.16	-0.21	N/A
FBXO45	ENST00000311630.6	F-box protein 45 	72	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
UBXN7	ENST00000296328.4	UBX domain protein 7 	95	3	0	1	2	1	hsa-miR-1292-5p				-0.16	-0.33	N/A
ALDH1A1	ENST00000297785.3	aldehyde dehydrogenase 1 family, member A1 	825	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.17	N/A
LCNL1	ENST00000408973.2	lipocalin-like 1 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
ZFP41	ENST00000520584.1	ZFP41 zinc finger protein 	7	1	0	1	0	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
NLRP8	ENST00000291971.3	NLR family, pyrin domain containing 8 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
FGF23	ENST00000237837.1	fibroblast growth factor 23 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
CHST4	ENST00000338482.5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4 	15	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
SOX13	ENST00000367204.1	SRY (sex determining region Y)-box 13 	1061	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
AMOTL1	ENST00000317837.9	angiomotin like 1 	712	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.18	N/A
SLC35E1	ENST00000595753.1	solute carrier family 35, member E1 	4273	1	0	0	1	2	hsa-miR-1292-5p				-0.16	-0.16	N/A
RDH11	ENST00000381346.4	retinol dehydrogenase 11 (all-trans/9-cis/11-cis) 	1177	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.17	N/A
KCNA6	ENST00000433855.1	potassium voltage-gated channel, shaker-related subfamily, member 6 	5	2	1	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
DUOXA1	ENST00000558996.1	dual oxidase maturation factor 1 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
C11orf82	ENST00000528759.1	chromosome 11 open reading frame 82 	579	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
CDRT4	ENST00000312177.6	CMT1A duplicated region transcript 4 	109	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
CHST7	ENST00000276055.3	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7 	406	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.23	N/A
MFAP2	ENST00000375534.3	microfibrillar-associated protein 2 	10	2	0	0	2	1	hsa-miR-1292-5p				-0.16	-0.36	N/A
RRP1B	ENST00000340648.4	ribosomal RNA processing 1B 	314	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
FOXN4	ENST00000355216.1	forkhead box N4 	16	1	0	0	1	2	hsa-miR-1292-5p				-0.16	-0.16	N/A
AC008132.1	ENST00000342888.3	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
PLCB3	ENST00000540288.1	phospholipase C, beta 3 (phosphatidylinositol-specific) 	15	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
UBE2D2	ENST00000398733.3	ubiquitin-conjugating enzyme E2D 2 	11458	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.19	N/A
DCAF12	ENST00000361264.4	DDB1 and CUL4 associated factor 12 	2075	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
RHBDD1	ENST00000341329.3	rhomboid domain containing 1 	667	3	0	0	3	0	hsa-miR-1292-5p				-0.16	-0.28	N/A
MTMR3	ENST00000333027.3	myotubularin related protein 3 	123	2	1	0	1	1	hsa-miR-1292-5p				-0.16	-0.21	N/A
DUSP8	ENST00000397374.3	dual specificity phosphatase 8 	26	1	0	1	0	3	hsa-miR-1292-5p				-0.16	-0.18	N/A
FAXDC2	ENST00000326080.5	fatty acid hydroxylase domain containing 2 	43	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
RNF207	ENST00000377948.2	ring finger protein 207 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
AC110619.2	ENST00000404891.1	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
ORAI3	ENST00000318663.4	ORAI calcium release-activated calcium modulator 3 	565	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
PTPN5	ENST00000477854.1	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
TRIM54	ENST00000296098.4	tripartite motif containing 54 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
NIPAL2	ENST00000341166.3	NIPA-like domain containing 2 	7	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
STK10	ENST00000176763.5	serine/threonine kinase 10 	655	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
DNAH11	ENST00000409508.3	dynein, axonemal, heavy chain 11 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
PHKG1	ENST00000452681.2	phosphorylase kinase, gamma 1 (muscle) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
ARMC7	ENST00000581078.1	armadillo repeat containing 7 	64	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.17	N/A
GCOM1	ENST00000380568.3	GRINL1A complex locus 1 	21	1	0	0	1	2	hsa-miR-1292-5p				-0.16	-0.21	N/A
CPSF7	ENST00000340437.4	cleavage and polyadenylation specific factor 7, 59kDa 	1283	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
CNNM4	ENST00000540067.1	cyclin M4 	1249	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
ADAMTSL4	ENST00000369038.2	ADAMTS-like 4 	115	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.17	N/A
GOLIM4	ENST00000470487.1	golgi integral membrane protein 4 	48	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
GP6	ENST00000417454.1	glycoprotein VI (platelet) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
CCL13	ENST00000225844.2	chemokine (C-C motif) ligand 13 	66	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.18	N/A
MAFB	ENST00000373313.2	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B 	333	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.17	N/A
AC011897.1	ENST00000581929.1	Uncharacterized protein  	12	1	0	0	1	1	hsa-miR-1292-5p				-0.16	-0.16	N/A
GTPBP2	ENST00000307126.5	GTP binding protein 2 	388	1	0	0	1	2	hsa-miR-1292-5p				-0.16	-0.16	N/A
FAM43A	ENST00000329759.4	family with sequence similarity 43, member A 	287	1	0	1	0	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
DIRAS1	ENST00000323469.4	DIRAS family, GTP-binding RAS-like 1 	49	1	0	0	1	0	hsa-miR-1292-5p				-0.16	-0.16	N/A
C8orf37	ENST00000286688.5	chromosome 8 open reading frame 37 	70	2	0	0	2	1	hsa-miR-1292-5p				-0.16	-0.24	N/A
STOM	ENST00000286713.2	stomatin 	444	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
RANBP6	ENST00000259569.5	RAN binding protein 6 	117	2	0	1	1	0	hsa-miR-1292-5p				-0.15	-0.21	N/A
CDKN2B	ENST00000380142.4	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) 	373	1	0	0	1	2	hsa-miR-1292-5p				-0.15	-0.16	N/A
RET	ENST00000355710.3	ret proto-oncogene 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
ELN	ENST00000252034.7	elastin 	445	1	0	0	1	1	hsa-miR-1292-5p				-0.15	-0.15	N/A
MKNK1	ENST00000341183.5	MAP kinase interacting serine/threonine kinase 1 	150	1	0	0	1	1	hsa-miR-1292-5p				-0.15	-0.15	N/A
CXCL14	ENST00000337225.5	chemokine (C-X-C motif) ligand 14 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	5	0	0	5	1	hsa-miR-1292-5p				-0.15	-0.16	N/A
ME1	ENST00000369705.3	malic enzyme 1, NADP(+)-dependent, cytosolic 	586	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.18	N/A
KCNJ10	ENST00000368089.3	potassium inwardly-rectifying channel, subfamily J, member 10 	5	1	0	0	1	2	hsa-miR-1292-5p				-0.15	-0.15	N/A
NUDT4	ENST00000337179.5	nudix (nucleoside diphosphate linked moiety X)-type motif 4 	41	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
C1orf226	ENST00000458626.2	chromosome 1 open reading frame 226 	369	2	0	0	2	1	hsa-miR-1292-5p				-0.15	-0.15	N/A
SELT	ENST00000471696.1	Selenoprotein T  	538	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
IL12B	ENST00000231228.2	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
DZIP3	ENST00000361582.3	DAZ interacting zinc finger protein 3 	336	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
SRL	ENST00000399609.3	sarcalumenin 	5	1	0	0	1	2	hsa-miR-1292-5p				-0.15	-0.15	N/A
CYP19A1	ENST00000396402.1	cytochrome P450, family 19, subfamily A, polypeptide 1 	5	1	0	0	1	1	hsa-miR-1292-5p				-0.15	-0.15	N/A
SRXN1	ENST00000381962.3	sulfiredoxin 1 	10	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
DYRK1A	ENST00000339659.4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A 	448	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
RASSF8	ENST00000541490.1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8 	1290	2	0	0	2	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
RP5-850E9.3	ENST00000488788.2	Uncharacterized protein  	10	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
PPP2R5D	ENST00000485511.1	protein phosphatase 2, regulatory subunit B', delta 	1755	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
ACPP	ENST00000336375.5	acid phosphatase, prostate 	22	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
PML	ENST00000565898.1	promyelocytic leukemia 	83	1	0	0	1	2	hsa-miR-1292-5p				-0.15	-0.15	N/A
ARMC5	ENST00000457010.2	armadillo repeat containing 5 	376	2	0	0	2	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
RELN	ENST00000428762.1	reelin 	252	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
TPRA1	ENST00000296210.7	transmembrane protein, adipocyte asscociated 1 	44	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
SLC39A13	ENST00000524928.1	solute carrier family 39 (zinc transporter), member 13 	845	1	0	1	0	1	hsa-miR-1292-5p				-0.15	-0.15	N/A
ETF1	ENST00000499810.2	eukaryotic translation termination factor 1 	31	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.17	N/A
KLF13	ENST00000307145.3	Kruppel-like factor 13 	5	2	0	1	1	1	hsa-miR-1292-5p				-0.15	-0.15	N/A
SMYD4	ENST00000305513.7	SET and MYND domain containing 4 	53	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
C17orf107	ENST00000381365.3	chromosome 17 open reading frame 107 	11	1	0	0	1	0	hsa-miR-1292-5p				-0.15	-0.15	N/A
NPTX2	ENST00000265634.3	neuronal pentraxin II 	56	1	0	0	1	1	hsa-miR-1292-5p				-0.15	-0.15	N/A
TCHP	ENST00000405876.4	trichoplein, keratin filament binding 	140	1	0	1	0	0	hsa-miR-1292-5p				-0.15	-0.20	N/A
